x,y,theta,kappa,dkappa,speed,acc,station
453448.51878442126,4398747.207980331,-1.7834791441916165,-0.07781943415079702,-0.004528321544263581,3.6303861164459432,-0.00012605151625217324,12.457092525627832
453448.4275006015,4398746.856605587,-1.812750204853263,-0.07781794865630988,-0.0028575579677694875,3.6303888569793523,0.0001806444370920264,12.820131018342039
453448.33621633064,4398746.505229105,-1.8420214101649555,-0.07781646315448182,-0.0011867861347919523,3.6304217492689603,0.0004724584584026442,13.183171305099009
453448.23719830654,4398746.156180084,-1.87020140367513,-0.0773865693480711,0.00043294513666756475,3.630481947576766,0.0007222396517100604,13.546216281413205
453448.1189900861,4398745.812910985,-1.8956731927393247,-0.07589357966120507,0.0019259985896711105,3.63056389107517,0.0009028371210446631,13.909268422470817
453448.00077895215,4398745.4696334265,-1.9211456096029327,-0.07440055317684331,0.0034190888417420127,3.630659303846977,0.000987099970436829,14.272329511620786
453447.8692417177,4398745.131489003,-1.9473294058127013,-0.07231027954067641,0.0047100187469657565,3.6307571948853936,0.0009478773039169391,14.635400368865863
453447.7261542481,4398744.797792711,-1.974129828212926,-0.06970235851721751,0.005825736667085012,3.6308438580940314,0.000758018225515388,14.998480579353638
453447.58306388074,4398744.464089661,-2.000930793354496,-0.06709438468016697,0.006941477181857292,3.6308998020421943,0.00030316757209282664,15.361568142659923
453447.42291735974,4398744.138375359,-2.02541152361898,-0.06395643567535318,0.0077129852484346985,3.630894461690018,-0.0004525806342967518,15.724658486893965
453447.2580669335,4398743.8148703035,-2.049251661041651,-0.060672297487470134,0.008389497379217702,3.630802273426297,-0.0014187035118330034,16.08774413000944
453447.09265608713,4398743.491687733,-2.0729165970157437,-0.05737891930592423,0.009054450208682221,3.630606725928007,-0.0025046781786955837,16.450815486213305
453446.90947906475,4398743.178241113,-2.0911151823244496,-0.05379195963656486,0.00935770432883627,3.6303003601603074,-0.0036199817530641496,16.813861771194627
453446.72632028145,4398742.864825703,-2.10931195558478,-0.0502053571237829,0.00966092825372368,3.629884769376538,-0.004674091353118357,17.176871907353398
453446.53912396834,4398742.55395499,-2.1266465529422147,-0.04660707201508184,0.009892316510111186,3.6293705991182215,-0.005576484097037858,17.53983542902935
453446.34135102923,4398742.249672142,-2.1417330579325426,-0.04297762633122389,0.009936174804149257,3.628777547215062,-0.006236637103002315,17.90274338773078
